2024-11-20 12:11:10,414 | Level 25 | table add meta_fwtable set_meta 10.0.1.1/24 1 => 3 0 6
2024-11-20 12:11:10,414 | Level 25 | do_register_write next_hops_port 9 6
2024-11-20 12:11:10,414 | Level 25 | table add bgp_tag set_bgp_tag 1 8a:96:e5:cc:af:d6 => 0
2024-11-20 12:11:10,414 | Level 25 | table add bgp_tag set_bgp_tag 3 12:c0:65:13:dd:7d => 0
2024-11-20 12:11:10,415 | Level 25 | table add bgp_tag set_bgp_tag 2 4e:4a:16:8b:8f:dc => 0
2024-11-20 12:11:10,586 | Level 25 | do_register_write switch_ip 0 3368601603
2024-11-20 12:11:10,586 | Level 25 | do_register_write threshold_registers 0 31
2024-11-20 12:11:10,586 | Level 25 | do_register_write threshold_registers 1 31
2024-11-20 12:11:10,586 | Level 25 | do_register_write threshold_registers 2 31
2024-11-20 12:11:10,586 | Level 25 | do_register_write threshold_registers 3 31
2024-11-20 12:11:10,586 | Level 25 | table add meta_fwtable set_meta 10.0.5.2/24 0 => 0 0 5
2024-11-20 12:11:10,586 | Level 25 | do_register_write next_hops_port 0 5
2024-11-20 12:11:10,586 | Level 25 | table add meta_fwtable set_meta 10.0.5.2/24 1 => 1 0 5
2024-11-20 12:11:10,586 | Level 25 | do_register_write next_hops_port 3 5
2024-11-20 12:11:10,586 | Level 25 | table add meta_fwtable set_meta 10.0.1.1/24 0 => 2 0 4
2024-11-20 12:11:10,586 | Level 25 | do_register_write next_hops_port 6 4
2024-11-20 12:11:10,586 | Level 25 | table add meta_fwtable set_meta 10.0.1.1/24 1 => 3 0 4
2024-11-20 12:11:10,586 | Level 25 | do_register_write next_hops_port 9 4
2024-11-20 12:11:10,587 | Level 25 | table add bgp_tag set_bgp_tag 2 2a:f4:6a:9e:f2:6d => 0
2024-11-20 12:11:10,587 | Level 25 | table add bgp_tag set_bgp_tag 1 e2:b6:70:a8:48:7b => 1
